source_file,source_url,target_url,anchor,score,cluster
blog\agent-ia-rgpd-ai-act-pme-2026.html,https://agents-ia.pro/blog/agent-ia-rgpd-ai-act-pme-2026,https://agents-ia.pro/blog/rgpd-agents-ia-cnil-2026-checklist,Agents IA & RGPD : checklist conformité CNIL mise à jour 2026,36.13,1
blog\rgpd-agents-ia-cnil-2026-checklist.html,https://agents-ia.pro/blog/rgpd-agents-ia-cnil-2026-checklist,https://agents-ia.pro/blog/agent-ia-rgpd-ai-act-pme-2026,"Agent IA, RGPD et AI Act : checklist PME 2026",34.63,1
blog\agents-ia-whatsapp-business-guide-2026.html,https://agents-ia.pro/blog/agents-ia-whatsapp-business-guide-2026,https://agents-ia.pro/blog/rgpd-agents-ia-cnil-2026-checklist,Agents IA & RGPD : checklist conformité CNIL mise à jour 2026,31.01,1
blog\rgpd-agents-ia-cnil-2026-checklist.html,https://agents-ia.pro/blog/rgpd-agents-ia-cnil-2026-checklist,https://agents-ia.pro/blog/agents-ia-whatsapp-business-guide-2026,Agents IA WhatsApp Business : guide complet 2026,31.01,1
blog\rgpd-agents-ia.html,https://agents-ia.pro/blog/rgpd-agents-ia,https://agents-ia.pro/blog/rgpd-agents-ia-cnil-2026-checklist,Agents IA & RGPD : checklist conformité CNIL mise à jour 2026,29.65,1
blog\choisir-agent-ia.html,https://agents-ia.pro/blog/choisir-agent-ia,https://agents-ia.pro/blog/top-10-agents-ia-mars-2025,Top 10 des agents IA les plus populaires en mars 2025,29.6,0
blog\top-10-agents-ia-mars-2025.html,https://agents-ia.pro/blog/top-10-agents-ia-mars-2025,https://agents-ia.pro/blog/choisir-agent-ia,Comment choisir le bon agent IA pour votre entreprise en 2025,29.6,0
blog\claude-code-seo-battre-concurrents-google.html,https://agents-ia.pro/blog/claude-code-seo-battre-concurrents-google,https://agents-ia.pro/blog/deployer-agent-ia-30-minutes,Déployer votre premier agent IA en 30 minutes (guide pas à pas),28.25,1
blog\deployer-agent-ia-30-minutes.html,https://agents-ia.pro/blog/deployer-agent-ia-30-minutes,https://agents-ia.pro/blog/claude-code-seo-battre-concurrents-google,Dépasse tes concurrents sur Google en 3 étapes avec Claude Code (sans agence),28.25,1
blog\choisir-agent-ia.html,https://agents-ia.pro/blog/choisir-agent-ia,https://agents-ia.pro/blog/agent-ia-vs-employe,Agent IA vs employé : le comparatif complet pour les PME suisses,27.26,0
